song,artist,spotify_track_id,spotify_artist_id,album,release_date,duration_ms,popularity,explicit
Stoned (feat. Waka Flocka),Gucci Mane,0bsAwd8BVMsNrtmvg1JqHu,13y7CgLHjMVRMDqxdx0Xdo,"Brick Squad is the Army, Better Yet the Navy",2015-12-11,218435,26,True
Shame In You,Alice In Chains,5g1gAVk9YsWjJHBya5zM77,64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,1995-10-30,335933,53,False
Like Yesterday (Screwed),DJ Screw,78ROwNZ0P8u8KdzvJ4RDWy,6TC6ZeVdvCuBSn32h5Msul,3 ‘n the Mornin’ 20th Anniversary (Deluxe Edition) (Screwed),2016-12-02,332906,21,True
Eminence Front,The Who,0LN5gIsS5tQSmRzQrHSaTR,67ea9eGLXYMsO2eYQRui3w,It's Hard,1982-09-04,339106,69,False
976-EVIL,Deftones,3hb4W4FUPjyWUbYY2Sfih5,6Ghvu1VvMGScGpOUJBAHNH,Diamond Eyes,2010-04-30,272560,65,False
Tin Man,America,4uTTd2SlalZoG0zVgI63kH,35U9lQaRWSQISxQAB94Meo,Holiday,1974,209866,70,False
Here I Am,Rick Ross,55E78MhBGQ4IPZcQ3R5BAH,1sBkRIssrMs1AbVkOJbc7a,Trilla,2008-01-01,209546,63,True
The Flower Called Nowhere,Stereolab,7dmHNa6KpsyakWQsMOjHUx,3Rj0tDHoX7C5NFq5DKIpHt,Dots And Loops (Expanded Edition),1997,315065,53,False
One of These Nights - 2013 Remaster,Eagles,608xszaAxVh4m7NcKJiAbF,0ECwFtbIWEVNwjlrfc6xoL,One of These Nights (2013 Remaster),1975-06-10,291685,77,False
I Can't Tell You Why - 2013 Remaster,Eagles,02BsTeJE4q5gWOTt58ur5U,0ECwFtbIWEVNwjlrfc6xoL,The Long Run (2013 Remaster),1979-09-24,295049,67,False
Early Morning Trapping,OJ Da Juiceman,3aZ9i4H8xLy7VLLpK400Wg,0t5qZrvVCo9YIUT87SQrTn,Alaska n Atlanta,2019-11-22,197955,27,True
On A Plain - Remastered,Nirvana,3pmH4GBzoACUmQQe91VCZL,6olE6TJLqED3rqDCT0FyPh,Nevermind (30th Anniversary Super Deluxe),1991-09-24,194480,25,False
Love Is Stronger Than Pride,Sade,5Qrcxc2YPomtX6UB0bwNaf,47zz7sob9NUcODy0BTDvKx,Stronger Than Pride,1988-05-03,258026,58,False
